"species","habitat_taxref","pf"
"Partula taeniata",3,"E"
"Conus flavidus",1,"P"
"Pustularia margarita",1,"P"
"Aphanoconia minuta",3,"E"
"Lyncina carneola propinqua",1,NA
"Melampus bidentatus",6,NA
"Chrysolina staphylaea staphylaea",3,NA
"Pinctada margaritifera",1,"P"
"Naria irrorata",1,"P"
"Partula rosea",3,"Z"
"Succinea humerosa",3,"E"
"Omphalotropis abbreviata",3,"E"
"Nesiocina solidula",3,"E"
"Cribrarula esontropia",1,NA
"Neripteron auriculatum",4,"P"
"Orobophana maugeriae",3,"E"
"Chicoreus lorenzi",1,"P"
"Partula hebe",3,"Z"
"Lyncina schilderorum",1,"P"
"Drupa clathrata miticula",1,NA
"Partula faba",3,"Z"
"Melanoides tuberculata",2,"J"
"Partula crassilabris",3,"Z"
"Drupa (Drupa) ricinus albolabris",1,"I"
"Turbo setosus",1,"P"
"Dermatophagoides farinae",3,NA
"Vasum ceramicum",1,"P"
"Naria eburnea",1,NA
"Naria erosa",1,"P"
"Neripteron dilatatum",4,"E"
"Coralliophila neritoidea",1,"P"
"Plumularia setacea",1,"P"
"Neotiara nodulosa",1,NA
"Conus gauguini",1,"P"
"Cerithium nesioticum",1,"P"
"Mendana rectangula",3,"E"
"Melampus variabilis",6,"A"
"Naria poraria",1,"P"
"Partula lutea",3,"Z"
"Nebularia acuminata",1,"P"
"Plicatula gibbosa",1,NA
"Succinea papillata",3,"E"
"Vini ultramarina",3,"E"
"Ptilinopus dupetithouarsii dupetithouarsii",3,"E"
"Melampus philippii",6,"P"
"Nesiocina discoidea",3,"E"
"Nemertesia antennina",1,NA
"Barbatia foliata",1,"P"
"Orobophana pacifica",3,"P"
"Neritina pulligera",6,NA
"Partula garrettii",3,"Z"
"Diastole conula",3,"C"
"Partula affinis",3,"E"
"Pustularia cicercula",1,"P"
"Monetaria caputserpentis",1,"P"
"Terebra vappereaui",1,"E"
"Lambis robusta",1,"P"
"Naria thomasi",1,"P"
"Partula dentifera cedista",3,"Z"
"Phoenicopterus roseus",6,NA
"Vexillum exasperatum",1,"P"
"Imbricaria conularis",1,"P"
"Aglaophenia pluma",1,NA
"Vexillum cadaverosum",1,"P"
"Partula varia",3,"Z"
"Pustularia bistrinotata mediocris",1,NA
"Todiramphus tutus",3,"S"
"Melanella major",1,"P"
"Oxymeris trochlea",1,"P"
"Partula nodosa",3,"E"
"Partula umbilicata",3,"Z"
"Omphalotropis producta",3,"E"
"Labidodemas semperianum",1,"P"
"Eleotris melanosoma",4,"P"
"Anguilla obscura",4,"P"
"Trivirostra oryza",1,NA
"Latirus amplustre",1,"P"
"Ptereleotris microlepis sakurai",1,"P"
"Lethrinus olivaceus",1,"P"
"Naso hexacanthus",1,"P"
"Strigatella aurantia",1,"P"
"Drupa morum",1,"P"
"Bathygobius coalitus",1,"P"
"Crenimugil crenilabis",1,"P"
"Arichlidon hanneloreae",1,"P"
"Cerithium zebrum var. trifasciata",1,"P"
"Istiblennius lineatus",1,"P"
"Daphnella thiasotes",1,"D"
"Naso annulatus",1,"P"
"Bathygobius cocosensis",1,"P"
"Istiblennius edentulus",1,"P"
"Katsuwonus pelamis",1,"P"
"Pollia undosa",1,"P"
"Thunnus albacares macropterus",1,"P"
"Eratoena sulcifera",1,"P"
"Sabia conica",1,"P"
"Parascorpaena mossambica",1,"P"
"Bittium glareosum",1,"P"
"Fowleria isostigma",1,"P"
"Scorpaenopsis diabolus",1,"P"
"Hastula matheroniana",1,"E"
"Myurellopsis kilburni",1,"P"
"Spirobranchus tetraceros",1,NA
"Indomodulus tectum",1,"P"
"Haurakia marmorata",1,"P"
"Drupa rubusidaeus",1,"P"
"Schindleria praematura",1,"P"
"Neoniphon argenteus",1,"P"
"Pseudamia gelatinosa",1,"P"
"Petroscirtes xestus",1,"P"
"Pempheris oualensis",1,"P"
"Mastonia papillata",1,"P"
"Caracanthus maculatus",1,"P"
"Quadrimaera serrata",1,"P"
"Aspidosiphon steenstrupii",1,"P"
"Cheilinus fasciatus",1,"P"
"Topsentia solida",1,"P"
"Aspidosiphon elegans",1,"P"
"Brosmophyciops pautzkei",1,"P"
"Diala albugo",1,"P"
"Plectranthias fourmanoiri",1,"P"
"Abyssorchomene gerulicorbis",1,NA
"Grapsus tenuicrustatus",1,"P"
"Rhinoclavis diadema",1,"P"
"Cerithium atromarginatum",1,"P"
"Thunnus alalunga",1,"P"
"Hastula hectica",1,"P"
"Sinezona plicata",1,"P"
"Stolephorus indicus",1,"P"
"Pseudocaranx dentex",1,"P"
"Clypeomorus brevis",1,"P"
"Terebra argus",1,"P"
"Euplica ionida",1,"P"
"Hydroides longispinosa",1,NA
"Scombrolabrax heterolepis",1,NA
"Synodus variegatus",1,"P"
"Parelasmopus suensis",1,"P"
"Trimma emeryi",1,"P"
"Fusigobius duospilus",1,"P"
"Scolecenchelys gymnota",1,"P"
"Scolecithrix danae",1,"P"
"Gobiodon citrinus",1,"P"
"Remora osteochir",1,NA
"Peragrarchis pelograpta",3,"E"
"Portunus sanguinolentus hawaiiensis",1,"P"
"Cheilopogon pitcairnensis",1,"P"
"Chromis vanderbilti",1,"P"
"Scorpaenodes varipinnis",1,"P"
"Stonogobiops medon",1,"E"
"Nectamia fusca",1,"P"
"Arothron hispidus",1,"P"
"Gymnothorax monostigma",1,"P"
"Scarus koputea",1,"E"
"Limonia raiateaae",3,"E"
"Cycloachelous granulatus",1,"P"
"Symphurus microrhynchus",1,"P"
"Cryptodromia fallax",1,"P"
"Tristenium temae",1,"P"
"Parupeneus cyclostomus",1,"P"
"Plagiotremus rhinorhynchos",1,"P"
"Anarchias schultzi",1,"P"
"Gnathodentex aureolineatus",1,"P"
"Acanthurus nigroris",1,"P"
"Entomacrodus cymatobiotus",1,"P"
"Gymnothorax porphyreus",1,"P"
"Evistias acutirostris",1,"P"
"Chromis xanthura",1,"P"
"Antennatus tuberosus",1,"P"
"Mulloidichthys vanicolensis",1,"P"
"Chaceon poupini",1,"E"
"Juxtaxanthias tetraodon",1,"P"
"Micippa parca",1,"P"
"Thalassoma heiseri",1,"S"
"Acropora pharaonis",1,NA
"Pseudogramma brederi",1,"P"
"Hemiramphus depauperatus",1,"P"
"Carpilius convexus",1,"P"
"Pristiapogon taeniopterus",1,"P"
"Euryhaliotrema microphallus",1,NA
"Abudefduf septemfasciatus",1,"P"
"Gobiodon oculolineatus",1,"P"
"Gymnothorax undulatus",1,"P"
"Ernophthora lechriogramma",3,"E"
"Blenniella caudolineata",1,"P"
"Epinephelus hexagonatus",1,"P"
"Trapezia bella",1,"P"
"Echidna leucotaenia",1,"P"
"Exallias brevis",1,"P"
"Goniastrea stelligera",1,"P"
"Ophiocomella sexradia",1,"P"
"Lutjanus bohar",1,"P"
"Psilaxis radiatus",1,"P"
"Conus rattus",1,"P"
"Halichoeres trimaculatus",1,"P"
"Ellochelon vaigiensis",1,"P"
"Heniochus diphreutes",1,NA
"Mobula alfredi",1,"P"
"Jamides walkeri",3,"S"
"Echeneis naucrates",1,"P"
"Phaethon lepturus",5,"P"
"Naso thynnoides",1,"P"
"Parupeneus barberinus",1,"P"
"Scarus rubroviolaceus",1,"P"
"Melichthys niger",1,"P"
"Coris gaimard",1,"P"
"Hipposcarus longiceps",1,"P"
"Acanthurus olivaceus",1,"P"
"Lethrinus obsoletus",1,"P"
"Chaetodon ornatissimus",1,"P"
"Balistapus undulatus",1,"P"
"Neoniphon opercularis",1,"P"
"Acanthurus blochii",1,"P"
"Siganus punctatus",1,"P"
"Scarus altipinnis",1,"P"
"Lethrinus xanthochilus",1,"P"
"Heniochus singularius",1,"P"
"Sargocentron spiniferum",1,"P"
"Diodon hystrix hystrix",1,"P"
"Scarus forsteni",1,"P"
"Scarus schlegeli",1,"P"
"Platax orbicularis",1,"P"
"Cheilinus undulatus",1,"P"
"Balistoides viridescens",1,"P"
"Crenimugil seheli",4,"P"
"Scarus oviceps",1,"P"
"Sargocentron caudimaculatum",1,"P"
"Carangoides ferdau",1,"P"
"Caranx melampygus",1,"P"
"Rhinecanthus lunula",1,"P"
"Carcharhinus amblyrhynchos",1,"P"
"Sphyraena barracuda",1,"P"
"Cetoscarus ocellatus",1,"P"
"Gracila albomarginata",1,"P"
"Scarus chameleon",1,"P"
"Parupeneus spilurus",1,"P"
"Oxycheilinus digramma",1,"P"
"Chaetodon kleinii",1,"P"
"Scarus spinus",1,"P"
"Myripristis botche",1,"P"
"Scarus rivulatus",1,"P"
"Ctenochaetus binotatus",1,"P"
"Calotomus carolinus",1,"P"
"Aprion virescens",1,"P"
"Sphyraena qenie",1,"P"
"Siganus vermiculatus",1,"P"
"Pterocaesio tessellata",1,"P"
"Epinephelus cyanopodus",1,"P"
"Kyphosus vaigiensis",1,"P"
"Crenimugil buchanani",4,"P"
"Parupeneus indicus",1,"P"
"Acanthurus mata",1,"P"
"Chaetodon flavirostris",1,"P"
"Lethrinus nebulosus",1,"P"
"Lethrinus atkinsoni",1,"P"
"Lutjanus fulviflamma",1,"P"
"Plectropomus maculatus",1,"P"
"Platybelone argalus",1,"P"
"Strongylura leiura",1,"P"
"Plectropomus laevis",1,"P"
"Scarus quoyi",1,"P"
"Lethrinus harak",1,"P"
"Scomberoides lysan",1,"P"
"Naso brevirostris",1,"P"
"Chanos chanos",4,"P"
"Sufflamen fraenatum",1,"P"
"Heniochus varius",1,"P"
"Caesio caerulaurea",1,"P"
"Hemigymnus melapterus",1,"P"
"Cephalopholis microprion",1,"P"
"Hemitaurichthys polylepis",1,"P"
"Plectropomus leopardus",1,"P"
"Lethrinus genivittatus",1,"P"
"Chlorurus frontalis",1,"P"
"Acanthurus albipectoralis",1,"P"
"Parupeneus barberinoides",1,"P"
"Chlorurus bleekeri",1,"P"
"Epinephelus maculatus",1,"P"
"Epinephelus rivulatus",1,"P"
"Diodon holocanthus",1,"P"
"Acanthurus dussumieri",1,"P"
"Abalistes stellaris",1,"P"
"Chaetodon rafflesii",1,"P"
"Scarus dimidiatus",1,"P"
"Neotrygon kuhlii",1,NA
"Scarus flavipectoralis",1,"P"
"Ctenochaetus strigosus",1,"P"
"Chaetodon melannotus",1,"P"
"Aetobatus narinari",1,"P"
"Chaetodon baronessa",1,"P"
"Sufflamen chrysopterum",1,"P"
"Siganus lineatus",1,"P"
"Rhinecanthus verrucosus",1,"P"
"Caesio teres",1,"P"
"Aethaloperca rogaa",1,"P"
"Gymnosarda unicolor",1,"P"
"Oopsis nutator",3,"P"
"Gnathothlibus eras",3,"P"
"Harmonia axyridis",3,NA
"Parapercis millepunctata",1,"P"
"Pocillopora verrucosa",1,"P"
"Neochmia temporalis",3,"I"
"Ramphocelus dimidiatus",3,"I"
"Sicyopterus lagocephalus",4,"P"
"Rhodactis rhodostoma",1,NA
"Columba livia",3,"I"
"Chaetodon semeion",1,"P"
"Styraconyx turbinarium",1,"E"
"Uroptychus disangulatus",1,"P"
"Trididemnum fetia",1,"P"
"Didemnum nekozita",1,"P"
"Didemnum pitipiri",1,"P"
"Cliona ecaudis",1,"P"
"Lauriea teresae",1,"P"
"Sadayoshia moorei",1,"P"
"Styraconyx kristenseni kristenseni",1,"P"
"Uroptychus benthaus",1,"P"
"Florarctus stellatus",1,"E"
"Trididemnum tomarahi",1,"P"
"Trachinotus macrospilus",1,"E"
"Scolelepis melasma",1,"P"
"Echiniscoides sigismundi galliensis",1,"A"
"Talparia talpa imperialis",1,"P"
"Clathrina huahineae",1,"P"
"Leucandra tahuatae",1,"P"
"Leucascus digitiformis",1,"P"
"Clathrina fakaravae",1,"P"
"Ankersquilla pardus",1,"P"
"Scolelepis dicha",1,"P"
"Lissodendoryx (Lissodendoryx) inaequalis",1,"P"
"Annuloplatidia curiosa",1,"P"
"Dallithyris tahitiensis",1,"P"
"Thoosa amphiasterina",1,"P"
"Harmothoe tahitiensis",1,"P"
"Lelapiella sphaerulifera",1,"P"
"Acropora hyacinthus",1,"P"
"Anamixis bananarama",1,"P"
"Nullarbora linearis",1,"P"
"Monandrocarpa tarona",1,"P"
"Madrepora deformis",1,"P"
"Phyllospongia foliascens",1,"P"
"Munidopsis macphersoni",1,"E"
"Tethya viridis",1,"P"
"Microscleroderma miritatarata",1,"E"
"Microscleroderma lava",1,"E"
"Gastrophanella basaltica",1,"E"
"Levispongia meyeri",1,"E"
"Axoniderma similis",1,"P"
"Agononida polycerta",1,"P"
"Acropora speciosa",1,"P"
"Amorphinopsis papillata",1,"P"
"Cliothosa hancocki",1,"P"
"Stelletta pachydermata",1,"P"
"Lissoclinum tuheiavae",1,"P"
"Hydroides exaltata",1,"P"
"Pocillopora zelli",1,"P"
"Dictyocalyx gracilis",1,"P"
"Nereis angusticollis",1,"P"
"Acropora abrotanoides",1,"P"
"Acropora nasuta",1,"P"
"Reinhardorhynchus hexacornutus",1,"P"
"Reinhardorhynchus tahitiensis",1,"P"
"Babamunida plexaura",1,"P"
"Babamunida hystrix",1,"P"
"Rhynchothorax tiahurensis",1,"E"
"Cladiella devaneyi",1,"P"
"Palythoa chlorostoma",1,"P"
"Palythoa leucochiton",1,"P"
"Palythoa dysancrita",1,"P"
"Calcinus shawi",1,"E"
"Hexapathes hivaensis",1,"P"
"Bathymunida corniculata",1,"P"
"Munida atarapa",1,"P"
"Mirapecten boutetorum",1,"P"
"Isanthus homolophilus",1,"P"
"Astomus taenioides",1,"P"
"Elasmopus spinidactylus",1,"P"
"Asbestopluma biserialis",1,"P"
"Acropora globiceps",1,"P"
"Echinodictyum asperum",1,"P"
"Eutiara decorata",1,"P"
"Plakinastrella pseudolopha",1,"P"
"Plakinastrella nicoleae",1,"P"
"Plakina finispinata",1,"P"
"Plakortis ruetzleri",1,"P"
"Orbitestella radiata",1,"P"
"Didemnum hiopaa",1,"P"
"Zoanthus hypsicarenus",1,"P"
"Notopoma moorea",1,"P"
"Didemnum parau",1,"P"
"Diplosoma ata",1,"P"
"Typhlopolycystis tahitiensis",1,"P"
"Fregata ariel",5,"P"
"Sula leucogaster",5,"P"
"Ducula aurorae",3,"E"
"Sula dactylatra granti",5,"P"
"Gygis alba",5,"P"
"Acrocephalus percernis aquilonis",3,"E"
"Onychoprion lunatus",5,"P"
"Zafra troglodytes",1,"P"
"Cymadusa brevidactyla",1,"P"
"Chromis atripectoralis",1,"P"
"Monoplex pilearis",1,"P"
"Linckia multifora",1,"P"
"Globosolembos excavatus",1,"P"
"Monetaria annulus",1,"P"
"Jactellina clathrata",1,"P"
"Hinea fasciata",1,"P"
"Canarium erythrinum",1,"P"
"Abudefduf vaigiensis",1,"P"
"Ctena bella",1,"P"
"Pseudoplesiops immaculatus",1,NA
"Raoulserenea ornata",1,"P"
"Amblygobius nocturnus",1,"P"
"Peasiella conoidalis",1,"P"
"Pupa sulcata",1,"P"
"Acropora monticulosa",1,"P"
"Conus planorbis",1,"P"
"Enneapterygius triserialis",1,"P"
"Ranzania laevis",1,"P"
"Coriocella nigra",1,"P"
"Abudefduf whitleyi",1,NA
"Callogobius maculipinnis",1,"P"
"Ampithoe ramondi",1,"D"
"Anampses femininus",1,"P"
"Rhinoclavis (Rhinoclavis) sinensis",1,"P"
"Ostorhinchus cookii",1,"P"
"Fowleria marmorata",1,"P"
"Gymnothorax fuscomaculatus",1,"P"
"Apionsoma (Apionsoma) misakianum",1,NA
"Peristernia ustulata",1,"P"
"Pseudodaphnella barnardi",1,NA
"Dulcerana granularis",1,NA
"Blenniella periophthalmus",1,"P"
"Carinomitra typha",1,"P"
"Neocancilla clathrus",1,"P"
"Septa rubecula",1,"P"
"Chromis iomelas",1,"P"
"Apogon doryssa",1,"P"
"Coriophora ustulata",1,"P"
"Dolabrifera dolabrifera",1,"P"
"Chaetodon trifasciatus",1,"P"
"Terebra guttata",1,"P"
"Euthynnus affinis yaito",1,"P"
"Periglypta reticulata",1,"P"
"Pleurobranchus grandis",1,"P"
"Scorpaenodes guamensis",1,"P"
"Phyllidiella pustulosa",1,"P"
"Maculotriton serriale",1,"P"
"Euplica varians",1,"P"
"Iniforis violacea",1,"P"
"Lentigo lentiginosus",1,"P"
"Cloeosiphon aspergillus",1,NA
"Chrysiptera brownriggii",1,"P"
"Cercamia eremia",1,NA
"Stichopus horrens",1,"P"
"Pleonexes kulafi",1,"P"
"Pleurosicya mossambica",1,"P"
"Lophocochlias parvissimus",1,"P"
"Tridacna squamosa",1,"P"
"Diala semistriata",1,"P"
"Pseudodax moluccanus",1,"P"
"Lienardia nigrotincta",1,NA
"Synanceia verrucosa",1,"P"
"Hemilienardia thyridota",1,NA
"Pinctada maculata",1,"P"
"Raoulserenea hieroglyphica",1,"P"
"Goniobranchus tinctorius",1,NA
"Mallacoota nananui",1,NA
"Aspidontus taeniatus tractus",1,NA
"Eviota smaragdus",1,NA
"Enneapterygius pyramis",1,"P"
"Pseudonebularia cucumerina",1,"P"
"Rissoina ambigua",1,"P"
"Acanthocybium solandri",1,"P"
"Vanikoro cancellata",1,"P"
"Zosimus actaeoides",1,NA
"Acropora nana",1,"P"
"Myurella affinis",1,"P"
"Peristernia nassatula",1,"P"
"Lysidice unicornis",1,"P"
"Pherecardia striata",1,"P"
"Oliva carneola",1,"P"
"Menathais tuberosa",1,"P"
"Plakobranchus ocellatus",1,"P"
"Fregata minor minor",5,NA
"Halichoeres margaritaceus",1,"P"
"Bactra optanias",3,"P"
"Paratrechina bourbonica bengalensis",3,"I"
"Callechelys marmorata",1,"P"
"Calumia godeffroyi",1,"P"
"Plectranthias longimanus",1,"P"
"Enneapterygius hemimelas",1,"P"
"Hermetia illucens",3,"I"
"Ponera bableti",3,"I"
"Ornithuroscincus noctua",3,"P"
"Xanthichthys caeruleolineatus",1,"P"
"Priolepis ailina",1,"E"
"Cephalopholis leopardus",1,"P"
"Praeacedes atomosella",3,"P"
"Cirripectes jenningsi",1,"P"
"Chironomus crassiforceps",3,"I"
"Drosophila melanogaster",3,"P"
"Iotyrris devoizei",1,NA
"Priolepis kappa",1,NA
"Plumularia strictocarpa",1,NA
"Polistes humilis",3,"I"
"Plectranthias flammeus",1,"E"
"Antennatus coccineus",1,"P"
"Choeroichthys brachysoma",1,"P"
"Catacanthus viridicatus",3,"P"
"Coelophora inaequalis",3,"P"
"Enicospilus aequalis",3,"P"
"Lampides boeticus",3,"I"
"Lucilia cuprina",3,"I"
"Gehyra oceanica",3,"P"
"Gobiodon unicolor",1,"P"
"Zosis geniculata",3,"I"
"Entomacrodus randalli",1,"E"
"Gymnothorax breedeni",1,"P"
"Leucetta chagosensis",1,"P"
"Cirripectes alboapicalis",1,"P"
"Apogon marquesensis",1,"E"
"Eviota randalli",1,"P"
"Spergo fusiformis",1,NA
"Anax guttatus",8,"P"
"Styringomyia didyma",3,"P"
"Bodianus busellatus",1,"P"
"Priolepis inhaca",1,"P"
"Oxycheilinus arenatus",1,"P"
"Hemitaurichthys thompsoni",1,"P"
"Apogon indicus",1,"P"
"Nannosalarias nativitatis",1,"P"
"Ischiodon scutellaris",3,"P"
"Corythoichthys flavofasciatus",1,"P"
"Coleosoma floridanum",3,"I"
"Pheidole sexspinosa adamsoni",3,"C"
"Millepora platyphylla",1,"P"
"Epuraea ocularis",3,"P"
"Trathala annulicornis",3,NA
"Allograpta nigripilosa",3,"E"
"Conus textile var. abbreviata",1,NA
"Stegastes emeryi",1,"S"
"Xanthichthys auromarginatus",1,"P"
"Trypoxylon nitidum",3,"P"
"Zebrasoma rostratum",1,"P"
"Terebra subulata",1,"P"
"Cephalopholis sexmaculata",1,"P"
"Pagurixus nomurai",1,"P"
"Chilocorus nigritus",3,"I"
"Misumenops melloleitaoi",3,"E"
"Ophiomyia lantanae",3,"I"
"Parapercis multiplicata",1,"P"
"Ipsa childreni",1,"P"
"Fowleria variegata",1,"P"
"Octopus cyanea",1,"P"
"Oxymeris cerithina",1,"P"
"Canthigaster bennetti",1,"P"
"Echidna unicolor",1,"P"
"Diala sulcifera",1,"P"
"Cerithium rostratum",1,"P"
"Chrysiptera glauca",1,"P"
"Paragrubia pilipes",1,"P"
"Nodolatirus nodatus",1,"P"
"Ophiactis savignyi",1,"P"
"Sherbornia mirabilis",1,"P"
"Morula uva",1,"P"
"Morula echinata",1,"P"
"Metaprotella sandalensis",1,"P"
"Synapta maculata",1,"P"
"Monoplex aquatilis",1,"P"
"Cheilea equestris",1,NA
"Nebularia ferruginea",1,"P"
"Hastula cinerea",1,"P"
"Drupella margariticola",1,"P"
"Dactyloptena orientalis",1,"P"
"Herviera gliriella",1,"P"
"Parashiela ambulata",1,"P"
"Barbatia amygdalumtostum",1,NA
"Pherallodus indicus",1,"P"
"Trivirostra hordacea",1,"P"
"Gonodactylus platysoma",1,"P"
"Otopleura mitralis",1,"P"
"Onigocia oligolepis",1,"P"
"Decapterus macarellus",1,"P"
"Euleptorhamphus viridis",1,"P"
"Scyllarides haanii",1,"P"
"Neothais marginatra",1,"P"
"Globosolembos ovatus",1,"P"
"Aspella platylaevis",1,"P"
"Hemiaegina minuta",1,"P"
"Leptograpsus variegatus",1,"P"
"Hexabranchus sanguineus",1,"P"
"Trivirostra scabriuscula",1,"P"
"Gonodactylus childi",1,"P"
"Canarium mutabile",1,"P"
"Pinctada imbricata fucata",1,NA
"Ctenochaetus truncatus",1,NA
"Pseudambasia acuticaudata",1,NA
"Sargocentron lepros",1,"P"
"Linckia guildingi",1,"P"
"Styliferina goniochila",1,"P"
"Bohadschia marmorata",1,"P"
"Lyncina lynx",1,"P"
"Oxymeris maculata",1,"P"
"Nassarius reeveanus",1,"P"
"Vexillum suluense",1,NA
"Mauritia depressa",1,"P"
"Bemlos tui",1,"P"
"Bittium impendens",1,"P"
"Melanella aciculata",1,"P"
"Gibberulus gibbosus",1,"P"
"Gymnangium hians",1,"P"
"Strigatella coronata",1,"P"
"Ostorhinchus angustatus",1,"P"
"Caragobius rubristriatus",1,"P"
"Talostolida teres teres",1,"P"
"Cerithium columna",1,"P"
"Sarasinula plebeia",3,"I"
"Carinapex minutissima",1,"P"
"Enchelyurus kraussii",1,NA
"Callodix solida",1,"P"
"Annepona mariae",1,"P"
"Quadrimaera pacifica",1,"P"
"Callechelys catostoma",1,"P"
"Vexillum unifasciale",1,"P"
"Eurythenes gryllus",1,"P"
"Metanachis marquesa",1,"P"
"Pseudoboletia indiana",1,"P"
"Lachneratus phasmaticus",1,"P"
"Sardinella marquesensis",1,"E"
"Strigatella scutulata",1,"P"
"Imbricariopsis punctata",1,"P"
"Neocancilla papilio",1,"P"
"Mitra (Mitra) rossiae",1,NA
"Swainsonia fissurata",1,NA
"Subulina octona",3,"J"
"Aerodramus leucophaeus",3,"E"
"Anous minutus",5,"P"
"Anas superciliosa",8,"P"
"Puffinus pacificus",5,NA
"Neomyxus leuciscus",1,"P"
"Macronectes halli",5,"B"
"Tringa incana",3,"P"
"Conus adamsonii",1,"P"
"Rochia nilotica",1,"I"
"Cryptolaemus montrouzieri",3,"I"
"Clibanarius striolatus",1,"P"
"Lagocheirus obsoletus",3,"I"
"Cladopsammia gracilis",1,"P"
"Triaenodon obesus",1,"P"
"Megaptera novaeangliae australis",1,"P"
"Villogorgia citrina",1,NA
"Emoia impar",3,"P"
"Lyncina vitellus",1,"P"
"Tripneustes gratilla",1,"P"
"Stylocheilus striatus",1,"P"
"Vasum armatum",1,"P"
"Holothuria cinerascens",1,"P"
"Cheilio inermis",1,"P"
"Technomyrmex vitiensis",3,"I"
"Aluterus scriptus",1,"P"
"Spondylus violacescens",1,"P"
"Anadara uropigimelana",1,"P"
"Kotoracythere inconspicua",1,"P"
"Gastrolepidia clavigera",1,"P"
"Loxoconcha pumicosa",1,NA
"Thalamita picta",1,"P"
"Bursa bufonia",1,"P"
"Alpheus alpheopsides",1,NA
"Trivirostra shawi",1,"P"
"Percnon guinotae",1,"P"
"Lamarcka ventricosa",1,"P"
"Frenulina sanguinolenta",1,"P"
"Nassarius granifer",1,"P"
"Pseudoliomera variolosa",1,"P"
"Apataxia cerithiiformis",1,"P"
"Macrophiothrix longipeda",1,"P"
"Epigrapsus politus",3,"P"
"Carpias stylodactylus",1,"P"
"Metalpheus paragracilis",1,"P"
"Glossodoris cincta",1,"P"
"Epiactaea nodulosa",1,NA
"Aniculus retipes",1,"P"
"Actinocyclus verrucosus",1,"P"
"Halopteris minuta",1,"P"
"Camposcia retusa",1,"P"
"Parapagurus richeri",1,"D"
"Schizophrys aspera",1,"P"
"Zenopontonia soror",1,"P"
"Dendropoma platypus",1,"D"
"Phanerophthalmus perpallidus",1,"P"
"Chama asperella",1,"P"
"Etisus anaglyptus",1,"P"
"Aplysia parvula",1,"Q"
"Holothuria verrucosa",1,"P"
"Macrobrachium grandimanus",2,"P"
"Tambja morosa",1,"P"
"Domecia hispida",1,"P"
"Galathea mauritiana",1,"P"
"Athanas areteformis",1,"P"
"Alpheus obesomanus var. japonicus",1,"P"
"Trapezia punctimanus",1,"E"
"Paropeas achatinaceum",3,"I"
"Omphalotropis terebralis",3,"E"
"Caphyra tridens",1,"P"
"Mancinella armigera",1,"P"
"Goniobranchus verrieri",1,"P"
"Acar plicata",1,"I"
"Phylladiorhynchus gustavi",1,"P"
"Dardanus gemmatus",1,"P"
"Cyclodius nitidus",1,"P"
"Spondylus nicobaricus",1,"P"
"Nerita albicilla",1,"P"
"Cyclodius paumotensis",1,"P"
"Metopograpsus thukuhar",1,"P"
"Loxoconcha insulaecapricornensis",1,"P"
"Chondrocidaris gigantea",1,"P"
"Cerithium balletoni",1,"P"
"Gymnodoris ceylonica",1,"P"
"Thalamita mitsiensis",1,"P"
"Lovellona atramentosa",1,"P"
"Didemnum granulatum",1,"P"
"Microprosthema lubricum",1,"P"
"Ascidia archaia",1,"P"
"Petrolisthes bispinosus",1,"P"
"Holothuria imitans",1,"P"
"Turris spectabilis",1,"P"
"Alpheus sizou",1,"P"
"Vexillum tusum",1,"P"
"Petrolisthes elegans",1,"P"
"Hypselodoris tryoni",1,"P"
"Euapta tahitiensis",1,"P"
"Calcinus seurati",1,"P"
"Hansenium hanseni",1,"P"
"Polyplectana kefersteinii",1,"P"
"Vaceuchelus foveolatus",1,"P"
"Elasmias peaseanum",3,"E"
"Alpheus rostratus",1,"P"
"Acrosterigma transcendens",1,"P"
"Berthella stellata",1,"D"
"Calcinus nitidus",1,"P"
"Turbo petholatus",1,"P"
"Vexillum echinatum",1,"P"
"Jactellina obliquaria",1,"P"
"Imbricaria annulata",1,"P"
"Pilodius areolatus",1,"P"
"Clavus laetus",1,"P"
"Urnalana purarensis",1,"P"
"Phyllochaetopterus verrilli",1,"P"
"Limaria fragilis",1,"P"
"Clivipollia pulchra",1,"P"
"Paractaea rufopunctata",1,"P"
"Semelangulus fijiensis",1,"P"
"Renaudcypris natans",4,"P"
"Calcinus latens",1,"P"
"Trichopagurus trichophthalmus",1,"P"
"Metalia spatagus",1,"P"
"Tylocarcinus dumerilii",1,"P"
"Ozius rugulosus mauritiensis",1,"P"
"Gibberulus gibberulus gibbosus",1,"P"
"Tarebia granifera",2,"I"
"Ascidia paulayi",1,"E"
"Lioxanthodes alcocki",1,"P"
"Paractaea excentrica",1,"P"
"Lampasopsis cruentata",1,"P"
"Geograpsus grayi",3,"P"
"Galathea polyphemus",1,"P"
"Palaemonella tenuipes",1,"P"
"Sinployea modicella",3,"E"
"Daldorfia leprosa",1,"P"
"Echinolittorina cinerea",1,"P"
"Pagurixus cavicarpus",1,"P"
"Sadayoshia edwardsii",1,"P"
"Titiscania limacina",1,NA
"Coralliogalathea megalochira",1,"P"
"Ocenebra erinaceus var. algerianus",1,NA
"Amphiophiura insolita",1,NA
"Hemicardium (Fragum) fragum",1,"P"
"Mitra turgida",1,"P"
"Alima orientalis",1,"P"
"Phyllidiella rosans",1,"P"
"Alpheopsis yaldwyni",1,"P"
"Rissoina heronensis",1,"P"
